branch,time,actual_fine_drive,actual_coarse_drive,direct_drive_difference,fixed_fine_geometry_field_difference,terminal_configuration_metric_difference,gradient_field_pairing_error,source_drive_difference,field_difference_maximum,source_position_difference,momentum_fed_rate_maximum,configuration_metric_fed_rate_maximum,counterfactual_timelike_ratio,valid_for_claim,source_path
reference,7.500000000000001e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9070026982589413e-17,0.0,4.727893478193718e-12,2.316635923892141e-13,0.039107143501697784,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-reference-attempt01\status.json
reference,8.750000000000001e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.080458502244371e-17,0.0,5.947455039309174e-12,2.7779037750476064e-13,0.03910711940507188,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-reference-attempt01\status.json
reference,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.171838798874329e-17,0.0,5.054980739551118e-12,2.9582212330612743e-13,0.03910709530838201,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-reference-attempt01\status.json
reference,1.125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.238864913037256e-17,0.0,2.6865634825313957e-12,2.791236751263747e-13,0.039107071211628014,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-reference-attempt01\status.json
reference,1.25e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3144381190335706e-17,0.0,4.31896494479736e-12,2.3161182173382354e-13,0.03910704711480932,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-reference-attempt01\status.json
reference,1.375e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.390659834630127e-17,0.0,4.986543404757182e-12,1.674465687617864e-13,0.0391070230179258,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-reference-attempt01\status.json
reference,1.5000000000000002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.432281577820325e-17,0.0,4.275932852151193e-12,1.0615163262118741e-13,0.03910699892097857,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-reference-attempt01\status.json
reference,1.6250000000000002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4086831075609223e-17,0.0,2.6148608018444763e-12,1.0294971255694896e-13,0.03910697482396962,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-reference-attempt01\status.json
reference,1.7500000000000002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.322307584509155e-17,0.0,4.196434053117654e-12,9.471145655942648e-14,0.03910695072690095,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-reference-attempt01\status.json
reference,1.8750000000000002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2142950018664708e-17,0.0,5.80777060558616e-12,1.0405240037730252e-13,0.03910692662977359,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-reference-attempt01\status.json
reference,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.142933137804786e-17,0.0,6.017123539880076e-12,1.181329882014804e-13,0.03910690253258726,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-reference-attempt01\status.json
reference,2.125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.148172168932452e-17,0.0,4.99706726735783e-12,1.2773641736200645e-13,0.03910687843534108,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-reference-attempt01\status.json
reference,2.25e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.224876958006739e-17,0.0,4.464901809820426e-12,1.4674486669045681e-13,0.03910685433803469,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-reference-attempt01\status.json
reference,2.375e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3227708056521848e-17,0.0,3.519493290554676e-12,1.5929732576097063e-13,0.039106830240668966,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-reference-attempt01\status.json
reference,2.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3748547292299537e-17,0.0,2.018602082362597e-12,1.6386029902409312e-13,0.03910680614324577,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-reference-attempt01\status.json
reference,2.625e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.490636853930226e-17,0.0,2.349281034465245e-12,1.4652607469039488e-13,0.039106782045766786,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-reference-attempt01\status.json
reference,2.75e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4541694385729683e-17,0.0,2.7409059180291684e-12,1.1002911905910159e-13,0.03910675794823179,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-reference-attempt01\status.json
reference,2.875e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2371463625966157e-17,0.0,2.9717744107551902e-12,1.026504185488887e-13,0.03910673385063807,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-reference-attempt01\status.json
reference,3.0000000000000004e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.060103241730666e-17,0.0,3.3744671553564975e-12,1.1541548966708128e-13,0.03910670975298077,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-reference-attempt01\status.json
reference,3.125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0808449610265557e-17,0.0,3.5416454382923568e-12,1.152705860467286e-13,0.03910668565525503,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-reference-attempt01\status.json
reference,3.2500000000000004e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2492033472051886e-17,0.0,3.2642982284239452e-12,1.0197143693836965e-13,0.039106661557458254,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-reference-attempt01\status.json
reference,3.375e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46542968281553e-17,0.0,3.215006386114716e-12,8.619304271887938e-14,0.03910663745959171,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-reference-attempt01\status.json
reference,3.5000000000000004e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6342671720049537e-17,0.0,3.5661639656917044e-12,1.0250692438805152e-13,0.03910661336166031,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-reference-attempt01\status.json
reference,3.625e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6797852667525217e-17,0.0,2.9548149409024116e-12,1.265373439693461e-13,0.039106589263670666,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-reference-attempt01\status.json
reference,3.7500000000000003e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5827199232086092e-17,0.0,3.19680257743023e-12,1.5126013505798995e-13,0.039106565165628236,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-reference-attempt01\status.json
reference,3.875e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.387071856005117e-17,0.0,3.4829452147975675e-12,1.6633564100574914e-13,0.039106541067535014,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-reference-attempt01\status.json
reference,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3977464563739912e-17,0.0,3.5369674853954596e-12,1.6259958873958134e-13,0.03910651696938892,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-reference-attempt01\status.json
