same_parent_branch_id,path_id,paint_op,operator_sequence,point_count,line_width,stroke_color,fill_color,min_x,max_x,min_y,max_y,span_x,span_y,role_guess,score_ready,valid_prediction_row,valid_for_claim,claim_allowed
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_94,S,ml,2,11.6219,black,"rgb(0,0,0)",4219.95,4221.65,650.051,707.879,1.7,57.828,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_95,S,ml,2,11.6219,black,"rgb(0,0,0)",4221.65,4225.34,650.051,656.855,3.69,6.804,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_96,S,ml,2,11.6219,black,"rgb(0,0,0)",4225.34,4230.44,656.855,662.523,5.1,5.668,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_97,S,ml,2,11.6219,black,"rgb(0,0,0)",4230.44,4236.67,662.523,666.492,6.23,3.969,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_98,S,ml,2,11.6219,black,"rgb(0,0,0)",4236.67,4244.04,666.492,668.762,7.37,2.27,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_99,S,ml,2,11.6219,black,"rgb(0,0,0)",4244.04,4251.7,668.762,669.043,7.66,0.281,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_100,S,ml,2,11.6219,black,"rgb(0,0,0)",4251.7,4259.07,667.344,669.043,7.37,1.699,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_101,S,ml,2,11.6219,black,"rgb(0,0,0)",4259.07,4265.87,663.941,667.344,6.8,3.403,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_102,S,ml,2,11.6219,black,"rgb(0,0,0)",4265.87,4271.25,658.84,663.941,5.38,5.101,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_103,S,ml,2,11.6219,black,"rgb(0,0,0)",4271.25,4275.51,652.32,658.84,4.26,6.52,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_104,S,ml,2,11.6219,black,"rgb(0,0,0)",4275.51,4277.77,645.234,652.32,2.26,7.086,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_105,S,ml,2,11.6219,black,"rgb(0,0,0)",4277.77,4278.06,620.855,645.234,0.29,24.379,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_106,S,ml,2,11.6219,black,"rgb(0,0,0)",4277.21,4278.06,613.203,620.855,0.85,7.652,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_107,S,ml,2,11.6219,black,"rgb(0,0,0)",4274.37,4277.21,606.117,613.203,2.84,7.086,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_108,S,ml,2,11.6219,black,"rgb(0,0,0)",4269.55,4274.37,600.164,606.117,4.82,5.953,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_109,S,ml,2,11.6219,black,"rgb(0,0,0)",4263.6,4269.55,595.629,600.164,5.95,4.535,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_110,S,ml,2,11.6219,black,"rgb(0,0,0)",4256.52,4263.6,592.512,595.629,7.08,3.117,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_111,S,ml,2,11.6219,black,"rgb(0,0,0)",4249.14,4256.52,591.66,592.512,7.38,0.852,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_112,S,ml,2,11.6219,black,"rgb(0,0,0)",4241.49,4249.14,591.66,592.512,7.65,0.852,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_113,S,ml,2,11.6219,black,"rgb(0,0,0)",4234.41,4241.49,592.512,595.629,7.08,3.117,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_114,S,ml,2,11.6219,black,"rgb(0,0,0)",4228.45,4234.41,595.629,600.164,5.96,4.535,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_115,S,ml,2,11.6219,black,"rgb(0,0,0)",4223.92,4228.45,600.164,606.117,4.53,5.953,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_116,S,ml,2,11.6219,black,"rgb(0,0,0)",3713.97,3714.82,678.965,686.336,0.85,7.371,tick_text_or_minor_path,False,False,False,False
